Triang 1, Triang 2
1: 4 7 17,1: 3 5 6 8 9 15 18
2: 3 10 11 12 14 15 16 19,2: 13 17
3: 2 4 5 14 15,3: 1 6 7 10 11 12 16 18 19
4: 1 3 5 6 7 8 15 17 18,4: 9 17
5: 3 4 6 7 8 9 17 18,5: 1 15
6: 4 5 8 18,6: 1 3 7 9 15 17
7: 1 4 5 8 9 17 18,7: 3 6 15
8: 4 5 6 7 9 18,8: 1 9 13 15 17
9: 5 7 8 16 18,9: 1 4 6 8 11 13 14 17 19
10: 2 13 16 19,10: 3 11 12 14 15 18
11: 2 12 13 19,11: 3 9 10 14 16 18 19
12: 2 11 13 15 16 18,12: 3 10 14 19
13: 10 11 12 16 19,13: 2 8 9 14 17
14: 2 3 16,14: 9 10 11 12 13 17 19
15: 2 3 4 12 18,15: 1 5 6 7 8 10 17
16: 2 9 10 12 13 14 18,16: 3 11 19
17: 1 4 5 7,17: 2 4 6 8 9 13 14 15 19
18: 4 5 6 7 8 9 12 15 16,18: 1 3 10 11
19: 2 10 11 13,19: 3 9 11 12 14 16 17
