Triang 1, Triang 2
1: 2 4 5 7 8 9 14 19,1: 2 4 10 14 16
2: 1 7,2: 1 4 5 8 9 10 14 16 19
3: 7 13 17,3: 6 11 12 14 15 17 18
4: 1 5 8 9 10 11 16 19,4: 1 2
5: 1 4 7 10 14 19,5: 2 8 9 16
6: 7 17 18,6: 3 11 12 13 14 15 17
7: 1 2 3 5 6 13 14 17,7: 12 15 18
8: 1 4 10 11 16 19,8: 2 5 9
9: 1 4 11 19,9: 2 5 8 10 16
10: 4 5 8 11,10: 1 2 9 16 19
11: 4 8 9 10 13 15 16 17 18 19,11: 3 6 12
12: 13,12: 3 6 7 11 14 15 17 18
13: 3 7 11 12 17,13: 6 14 15 18
14: 1 5 7,14: 1 2 3 6 12 13 15 17 18
15: 11,15: 3 6 7 12 13 14 17 18
16: 4 8 11 19,16: 1 2 5 9 10
17: 3 6 7 11 13 18,17: 3 6 12 14 15 18
18: 6 11 17,18: 3 7 12 13 14 15 17
19: 1 4 5 8 9 11 16,19: 2 10
