Triang 1, Triang 2
1: 3 4 8 9 15 16 18,1: 4 11 12 13
2: 7 11 14 17,2: 5 6 10 12 19
3: 1 4 8 9 13 15 19,3: 16 18 19
4: 1 3 8 9 12 15 18,4: 1 11 13 16
5: 7 10 11,5: 2 6 12 14 17 19
6: 7 10 11 12 14 17,6: 2 5 19
7: 2 5 6 10 11 12 17,7: 12 14 19
8: 1 3 4 9 15 16 18,8: 9 13 15 18 19
9: 1 3 4 8 13 16 18 19,9: 8 13 15
10: 5 6 7 11,10: 2 12 14 17 19
11: 2 5 6 7 10 14,11: 1 4 12 14 17
12: 4 6 7,12: 1 2 5 7 10 11 14 17
13: 3 9 19,13: 1 4 8 9 15 16 18
14: 2 6 11 17,14: 5 7 10 11 12 17 19
15: 1 3 4 8 16 18 19,15: 8 9 13
16: 1 8 9 15 19,16: 3 4 13 18
17: 2 6 7 14,17: 5 10 11 12 14 19
18: 1 4 8 9 15,18: 3 8 13 16 19
19: 3 9 13 15 16,19: 2 3 5 6 7 8 10 14 17 18
