Triang 1, Triang 2
1: 5 14 16,1: 6 8 10 11 12 13 15
2: 4 8 17,2: 3 5 6 7 9 11 12 13 14
3: 6 8 9 17,3: 2 4 7 10 11 17
4: 2 8 11 17,4: 3 7 9 10 13 14 15 16
5: 1 9 13 14 15 16,5: 2 6 12
6: 3 7 8 10 17,6: 1 2 5 11 12
7: 6 8 10 11 17,7: 2 3 4 9
8: 2 3 4 6 7 11 17,8: 1 10
9: 3 5 12 13 15 16 17,9: 2 4 7 14
10: 6 7 17,10: 1 3 4 8 11 15 16 17
11: 4 7 8 17,11: 1 2 3 6 10 17
12: 9 14 15 16,12: 1 2 5 6 13
13: 5 9 16,13: 1 2 4 12 14 15
14: 1 5 12 15 16,14: 2 4 9 13
15: 5 9 12 14,15: 1 4 10 13 16
16: 1 5 9 12 13 14,16: 4 10 15
17: 2 3 4 6 7 8 9 10 11,17: 3 10 11
