Triang 1, Triang 2
1: 2 8 11 12,1: 5 6 9 13 15 16 17
2: 1 4 8 12 13 16,2: 6 9 11 15
3: 4 5 6 7 9 14 15 16,3: 10 16 17
4: 2 3 13 14 16,4: 7 8 9 10 11 12
5: 3 7 15,5: 1 6 10 11 13 14 17
6: 3 7 9 14 17,6: 1 2 5 11 15
7: 3 5 6 9 15 17,7: 4 10 11 14
8: 1 2 11 13,8: 4 9 10 12 16
9: 3 6 7,9: 1 2 4 8 11 12 15 16
10: 11 12 13,10: 3 4 5 7 8 14 16 17
11: 1 8 10 12 13,11: 2 4 5 6 7 9 14
12: 1 2 10 11 13 16,12: 4 8 9
13: 2 4 8 10 11 12 14 16,13: 1 5 17
14: 3 4 6 13 15 17,14: 5 7 10 11
15: 3 5 7 14 16 17,15: 1 2 6 9
16: 2 3 4 12 13 15,16: 1 3 8 9 10 17
17: 6 7 14 15,17: 1 3 5 10 13 16
