Triang 1, Triang 2
1: 8 11 13 14 16,1: 4 5 7 10
2: 7 9 10 17,2: 3 4 5 6 8 12 13 15 16
3: 6 14 17,3: 2 6 8 9 11 12 15 17
4: 8 17,4: 1 2 5 7 10 13 16
5: 11 16,5: 1 2 4 7 8 10 13
6: 3 9 10 11 12 14 17,6: 2 3 15 17
7: 2 10 13 17,7: 1 4 5 8 16
8: 1 4 13 14 17,8: 2 3 5 7 12 16
9: 2 6 10 12 17,9: 3 11 14 15
10: 2 6 7 9 11 13 15 16,10: 1 4 5
11: 1 5 6 10 14 15 16,11: 3 9 12 14
12: 6 9 17,12: 2 3 8 11 14 15
13: 1 7 8 10 16 17,13: 2 4 5
14: 1 3 6 8 11 17,14: 9 11 12 15
15: 10 11,15: 2 3 6 9 12 14 17
16: 1 5 10 11 13,16: 2 4 7 8
17: 2 3 4 6 7 8 9 12 13 14,17: 3 6 15
