Triang 1, Triang 2
1: 6 7 9 10 13 16,1: 4 5 8 15
2: 3 5 7 8 12 14 15 17,2: 10 11 13 17
3: 2 4 10 11 12 15,3: 5 6 9 14 16 17
4: 3 9 10 11,4: 1 5 6 7 15 16
5: 2 7 10 15,5: 1 3 4 8 16
6: 1 8 9 11 12 13,6: 3 4 14 16 17
7: 1 2 5 8 10 13,7: 4 15 16
8: 2 6 7 12 13 14 17,8: 1 5 15 16
9: 1 4 6 10 11 16,9: 3 12 13 14 17
10: 1 3 4 5 7 9 15 16,10: 2 11
11: 3 4 6 9 12,11: 2 10 13 14 17
12: 2 3 6 8 11 14,12: 9 13 17
13: 1 6 7 8,13: 2 9 11 12 14 17
14: 2 8 12 17,14: 3 6 9 11 13 17
15: 2 3 5 10,15: 1 4 7 8 16
16: 1 9 10,16: 3 4 5 6 7 8 15
17: 2 8 14,17: 2 3 6 9 11 12 13 14
