Triang 1, Triang 2
1: 2 8 11,1: 2 3 4 6 7 15 16
2: 1 3 4 5 8 11 15,2: 1 7 16
3: 2 10 13 15,3: 1 6 7 8 11 17
4: 2 5 7 11,4: 1 6 9 12 13 14 15 16
5: 2 4 7 12 13 14 15 16,5: 8 9 10 16 17
6: 9 10 12 14 17,6: 1 3 4 11 13
7: 4 5 11 15,7: 1 2 3 8 16
8: 1 2 11 15,8: 3 5 7 10 16 17
9: 6 10 14,9: 4 5 12 13 16 17
10: 3 6 9 12 13 14 16,10: 5 8 17
11: 1 2 4 7 8 15,11: 3 6 13 17
12: 5 6 10 14 16 17,12: 4 9 13
13: 3 5 10 14,13: 4 6 9 11 12 17
14: 5 6 9 10 12 13 17,14: 4 16
15: 2 3 5 7 8 11 16,15: 1 4
16: 5 10 12 15,16: 1 2 4 5 7 8 9 14
17: 6 12 14,17: 3 5 8 9 10 11 13
