Triang 1, Triang 2
1: 2 4 5 10 11 14 15 17,1: 4 5 8
2: 1 4 11,2: 5 6 7 10 11 12 13 17
3: 6 7 9 12 13 15 16,3: 8 14
4: 1 2 10 11 17,4: 1 5 8 12 15
5: 1 10 15,5: 1 2 4 8 10 11 12 17
6: 3 7 9 12 16,6: 2 9 13 14 17
7: 3 6 9 14 15 16,7: 2 12 13
8: 10 11 15,8: 1 3 4 5 9 14 15 16 17
9: 3 6 7,9: 6 8 12 13 14 15 16
10: 1 4 5 8 11 15 17,10: 2 5 12
11: 1 2 4 8 10 14 15,11: 2 5 17
12: 3 6 16,12: 2 4 5 7 9 10 13 15
13: 3 14 15 16,13: 2 6 7 9 12
14: 1 7 11 13 15 16,14: 3 6 8 9 17
15: 1 3 5 7 8 10 11 13 14,15: 4 8 9 12 16
16: 3 6 7 12 13 14,16: 8 9 15
17: 1 4 10,17: 2 5 6 8 11 14
