Triang 1, Triang 2
1: 5 7 8 14 15,1: 3 4 10 15 17
2: 6 11 12 13,2: 5 7 8 9 16 17
3: 4 8 11 14 16,3: 1 6 9 10 12 13 15
4: 3 7 8 10 14,4: 1 5 14 15 17
5: 1 7 15 17,5: 2 4 7 9 11 13 14 15 16
6: 2 11 13 16,6: 3 8 9 10 12
7: 1 4 5 8 10 15 17,7: 2 5 14 17
8: 1 3 4 7 11 12 14 16,8: 2 6 9 10 17
9: 12 13 16,9: 2 3 5 6 8 11 13
10: 4 7 14 15,10: 1 3 6 8 12 17
11: 2 3 6 8 12 16,11: 5 9 13
12: 2 8 9 11 13 16,12: 3 6 10
13: 2 6 9 12 16,13: 3 5 9 11 15
14: 1 3 4 8 10 15,14: 4 5 7 17
15: 1 5 7 10 14 17,15: 1 3 4 5 13
16: 3 6 8 9 11 12 13,16: 2 5
17: 5 7 15,17: 1 2 4 7 8 10 14
