Triang 1, Triang 2
1: 2 4 9 11 12 14 16,1: 3 6 7 8 10 17
2: 1 3 4 12 16,2: 13 14 15 17
3: 2 4 12 13 14 17,3: 1 7 8 16
4: 1 2 3 13 14 16,4: 10 15 17
5: 6 7 8 9 10,5: 7 9 11 12 13 15
6: 5 8 9 12 15,6: 1 7 10 11
7: 5 8 10,7: 1 3 5 6 9 11 12 16
8: 5 6 7 9 10 11 12,8: 1 3 16
9: 1 5 6 8 10 11 15,9: 5 7 12
10: 5 7 8 9,10: 1 4 6 11 15 17
11: 1 8 9 12,11: 5 6 7 10 15
12: 1 2 3 6 8 11 14,12: 5 7 9 13 16
13: 3 4 14 17,13: 2 5 12 14 15 16
14: 1 3 4 12 13 15 17,14: 2 13 16 17
15: 6 9 14,15: 2 4 5 10 11 13 17
16: 1 2 4,16: 3 7 8 12 13 14 17
17: 3 13 14,17: 1 2 4 10 14 15 16
