Triang 1, Triang 2
1: 3 10 15,1: 6 8 11 12 14 17
2: 4 5 7 15 16,2: 3 6 9 13
3: 1 5 6 7 9 10 12,3: 2 6 8 13 15 16
4: 2 5 9 16,4: 5 7 11 13 14 17
5: 2 3 4 9 15,5: 4 7 13 16 17
6: 3 7 12 13 14 15,6: 1 2 3 8 9 10 11
7: 2 3 6 9 15 16,7: 4 5 13
8: 10 11 12 14 17,8: 1 3 6 12 15
9: 3 4 5 7 16,9: 2 6 11 13
10: 1 3 8 12 14 15 17,10: 6 11
11: 8 12 17,11: 1 4 6 9 10 13 14
12: 3 6 8 10 11 14 17,12: 1 8 15 17
13: 6,13: 2 3 4 5 7 9 11 16
14: 6 8 10 12 15,14: 1 4 11 17
15: 1 2 5 6 7 10 14,15: 3 8 12 16 17
16: 2 4 7 9,16: 3 5 13 15 17
17: 8 10 11 12,17: 1 4 5 12 14 15 16
