Triang 1, Triang 2
1: 3 4 7 16,1: 2 5 8 13 14 15
2: 11 13 14 15 16,2: 1 3 5 7 8
3: 1 4 5 16,3: 2 6 7 8 12 17
4: 1 3 5 6 7 9 12 17,4: 10 13 16
5: 3 4 6 12 14 16,5: 1 2 7 13
6: 4 5 12,6: 3 7 9 10 11 13 16 17
7: 1 4 15 16 17,7: 2 3 5 6 13
8: 10 15 17,8: 1 2 3 9 11 12 14
9: 4 10 12 17,9: 6 8 10 11 13 14 15
10: 8 9 11 12 14 15 17,10: 4 6 9 13
11: 2 10 13 14 15,11: 6 8 9 12 17
12: 4 5 6 9 10 14,12: 3 8 11 17
13: 2 11 14,13: 1 4 5 6 7 9 10 15 16
14: 2 5 10 11 12 13 16,14: 1 8 9 15
15: 2 7 8 10 11 16 17,15: 1 9 13 14
16: 1 2 3 5 7 14 15,16: 4 6 13
17: 4 7 8 9 10 15,17: 3 6 11 12
