Triang 1, Triang 2
1: 8 9 11 12 13 14 16,1: 2 3 6 7 11 14 17
2: 7 10 14,2: 1 3 5 8 11 13 14 16 17
3: 12 15 17,3: 1 2 6 8 9 13
4: 5 7 14 16,4: 6 9 10 11 12 15
5: 4 7 14,5: 2 8 10 11 15 16
6: 13 15 17,6: 1 3 4 7 9 11 12
7: 2 4 5 10 14 16,7: 1 6 11
8: 1 9 10 12 14 16 17,8: 2 3 5 9 13 15 16
9: 1 8 13 17,9: 3 4 6 8 12 15
10: 2 7 8 14 16,10: 4 5 11 15
11: 1 14 16,11: 1 2 4 5 6 7 10 14
12: 1 3 8 13 15 17,12: 4 6 9
13: 1 6 9 12 15 17,13: 2 3 8
14: 1 2 4 5 7 8 10 11 16,14: 1 2 11
15: 3 6 12 13 17,15: 4 5 8 9 10
16: 1 4 7 8 10 11 14,16: 2 5 8
17: 3 6 8 9 12 13 15,17: 1 2
