Triang 1, Triang 2
1: 8 9 17,1: 3 5 7 10 11 12 15
2: 4 5 6 13 14,2: 4 6 9 11 12 16
3: 8 10 11 12 15 16 17,3: 1 7 12
4: 2 13 14 16,4: 2 5 6 7 9 12
5: 2 6 14,5: 1 4 7 9 13 17
6: 2 5 11 12 13 14 16,6: 2 4 9
7: 8 9 10 15 17,7: 1 3 4 5 12
8: 1 3 7 10 12 17,8: 11 15 16
9: 1 7 17,9: 2 4 5 6 13 14
10: 3 7 8 12 15 16,10: 1 11 17
11: 3 6 12 13 16,11: 1 2 8 10 14 15 17
12: 3 6 8 10 11 16,12: 1 2 3 4 7 15 16
13: 2 4 6 11 16,13: 5 9 14 17
14: 2 4 5 6 16,14: 9 11 13 17
15: 3 7 10 17,15: 1 8 11 12 16
16: 3 4 6 10 11 12 13 14,16: 2 8 12 15
17: 1 3 7 8 9 15,17: 5 10 11 13 14
