Triang 1, Triang 2
1: 7 8 14,1: 2 3 4 5 13 14 16 17
2: 6 10 11 12 17,2: 1 4 5 8 9 13 14
3: 4 5 7 13 14,3: 1 10 15 16 17
4: 3 5 14,4: 1 2 9 10 12 13 17
5: 3 4 13 14 17,5: 1 2 7 8 16
6: 2 8 9 10 12 15,6: 7 11 16
7: 1 3 8 9 13 14 15,7: 5 6 8 11 16
8: 1 6 7 12 14 15 16,8: 2 5 7 9 11
9: 6 7 10 13 15,9: 2 4 8 11 12
10: 2 6 9 11 13 17,10: 3 4 12 15 17
11: 2 10,11: 6 7 8 9 12 15 16
12: 2 6 8 16 17,12: 4 9 10 11 15
13: 3 5 7 9 10 17,13: 1 2 4 14
14: 1 3 4 5 7 8 16 17,14: 1 2 13
15: 6 7 8 9,15: 3 10 11 12 16
16: 8 12 14 17,16: 1 3 5 6 7 11 15
17: 2 5 10 12 13 14 16,17: 1 3 4 10
