Triang 1, Triang 2
1: 6 7 9,1: 2 3 4 8 15 16 17
2: 4 6 16 17,2: 1 3 8 9 13 15
3: 4 8 12 13 15,3: 1 2 10 11 14 16
4: 2 3 8 11 13 16 17,4: 1 6 8 15
5: 6 9 10 11 13 14 17,5: 7 10 12
6: 1 2 5 7 9 16 17,6: 4 8 15
7: 1 6 9 16,7: 5 10 11 12 14 17
8: 3 4 15 16,8: 1 2 4 6 9 13 17
9: 1 5 6 7 12 14 15 16,9: 2 8 10 17
10: 5 13 14,10: 3 5 7 9 11 12 17
11: 4 5 13 17,11: 3 7 10 12 14
12: 3 9 13 14 15,12: 5 7 10 11
13: 3 4 5 10 11 12 14,13: 2 8 15
14: 5 9 10 12 13,14: 3 7 11 17
15: 3 8 9 12 16,15: 1 2 4 6 13
16: 2 4 6 7 8 9 15,16: 1 3 17
17: 2 4 5 6 11,17: 1 7 8 9 10 14 16
