Triang 1, Triang 2
1: 5 7 12 15 18 20 21,1: 2 4 8 14 16 21
2: 10 11 12 14 19 20,2: 1 3 6 7 9 13 14 17 19 21
3: 10 11 13 17 19,3: 2 6 9 10 21
4: 5 7 15 16,4: 1 8 12 14 18 20
5: 1 4 7 8 12 16 20 21,5: 14 15 18
6: 9 10 11,6: 2 3 10 13 17 19 21
7: 1 4 5 8 12 15 18 20,7: 2 13 14 16
8: 5 7 12 14 15 20 21,8: 1 4 16 18
9: 6 10 11 17,9: 2 3 13 19 21
10: 2 3 6 9 11 13 17 19,10: 3 6 17 21
11: 2 3 6 9 10 12 17 19,11: 13 16 21
12: 1 2 5 7 8 11 14 15 16 19 20,12: 4 15 18 20
13: 3 10 19,13: 2 6 7 9 11 16 17 19 21
14: 2 8 12 20,14: 1 2 4 5 7 15 16 18 20
15: 1 4 7 8 12 16 21,15: 5 12 14 18 20
16: 4 5 12 15 20,16: 1 7 8 11 13 14 18 21
17: 3 9 10 11,17: 2 6 10 13 19 21
18: 1 7 20,18: 4 5 8 12 14 15 16
19: 2 3 10 11 12 13 20,19: 2 6 9 13 17 21
20: 1 2 5 7 8 12 14 16 18 19,20: 4 12 14 15
21: 1 5 8 15,21: 1 2 3 6 9 10 11 13 16 17 19
